Nafn,Númer,Greiningartími,Spátími,Villa,Úrkoma á klst. (mm),Úrkomuklukkustundir (klst.),Hiti (°C),Vindhraði (m/s),Vindátt,Veður,Skýjahula (%),Vindgráður
Akureyri,422,2020-08-18 12:00:00,2020-08-22 18:00:00,,0,0 / 3klst.,11,1,NNA,Heiðskírt,0,23
Akureyri,422,2020-08-18 12:00:00,2020-08-22 21:00:00,,0,0 / 3klst.,10,1,NV,Heiðskírt,0,321
Akureyri,422,2020-08-18 12:00:00,2020-08-23 00:00:00,,0,0 / 3klst.,7,1,SV,Heiðskírt,0,229
Akureyri,422,2020-08-18 12:00:00,2020-08-23 03:00:00,,0,0 / 3klst.,4,1,SSV,Léttskýjað,0,206
Akureyri,422,2020-08-18 12:00:00,2020-08-23 06:00:00,,0,0 / 3klst.,3,2,S,Léttskýjað,80,183
Akureyri,422,2020-08-18 12:00:00,2020-08-23 09:00:00,,0,0 / 3klst.,9,1,S,Léttskýjað,0,183
Akureyri,422,2020-08-18 12:00:00,2020-08-23 12:00:00,,0,0 / 3klst.,13,0,Logn,Léttskýjað,40,0
Akureyri,422,2020-08-18 12:00:00,2020-08-23 15:00:00,,0,0 / 3klst.,14,1,NA,Alskýjað,90,45
Akureyri,422,2020-08-18 12:00:00,2020-08-23 18:00:00,,0,0 / 3klst.,14,1,N,Alskýjað,100,360
Akureyri,422,2020-08-18 12:00:00,2020-08-23 21:00:00,,0,0 / 3klst.,9,2,NNV,Skýjað,80,344
Akureyri,422,2020-08-18 12:00:00,2020-08-24 00:00:00,,0,0 / 3klst.,8,1,S,Léttskýjað,40,183
Akureyri,422,2020-08-18 12:00:00,2020-08-24 03:00:00,,0,0 / 3klst.,6,1,S,Léttskýjað,20,183
Akureyri,422,2020-08-18 12:00:00,2020-08-24 06:00:00,,0,0 / 3klst.,5,2,S,Heiðskírt,10,183
Akureyri,422,2020-08-18 12:00:00,2020-08-24 09:00:00,,0,0 / 3klst.,9,1,S,Heiðskírt,10,183
Akureyri,422,2020-08-18 12:00:00,2020-08-24 12:00:00,,0,0 / 3klst.,13,1,A,Léttskýjað,10,91
Akureyri,422,2020-08-18 12:00:00,2020-08-24 18:00:00,,0,1 / 6klst.,12,1,S,Skýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-25 00:00:00,,0,0 / 6klst.,9,0,Logn,Léttskýjað,20,0
Akureyri,422,2020-08-18 12:00:00,2020-08-25 06:00:00,,0,0 / 6klst.,6,1,SV,Léttskýjað,40,229
Akureyri,422,2020-08-18 12:00:00,2020-08-25 12:00:00,,0,1 / 6klst.,11,2,N,Lítils háttar rigning,90,360
Akureyri,422,2020-08-18 12:00:00,2020-08-25 18:00:00,,2,1 / 6klst.,10,2,N,Lítils háttar rigning,100,360
Akureyri,422,2020-08-18 12:00:00,2020-08-26 00:00:00,,0,9 / 6klst.,7,2,N,Lítils háttar rigning,100,360
