station_name,pollutantnotation,endtime,the_value,resolution,verification,station_local_id,concentration
Kópavogur Dalsmári,H2S,2020-08-12 03:00:00,0.394667,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 13:00:00,0.5575,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 09:00:00,0.291833,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 17:00:00,0.242666,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 10:00:00,0.0311666,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 04:00:00,0.0861666,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 11:00:00,1.21933,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 15:00:00,0.431,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 07:00:00,-0.304667,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 01:00:00,0.401167,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 00:00:00,0.419333,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 21:00:00,0.376167,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 22:00:00,0.601666,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 18:00:00,0.4905,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 12:00:00,0.270333,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 20:00:00,-0.538834,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 06:00:00,0.113833,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 14:00:00,0.415833,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 23:00:00,0.507167,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-11 19:00:00,-2.71267,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-11 16:00:00,-2.752,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-12 08:00:00,-2.1644,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-12 05:00:00,-3.42,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-12 02:00:00,-3.78767,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,SO2,2020-08-12 03:00:00,-3.54167,1h,3,STA-IS0037A,µg/m3
